en,nl,it,de,es,pl,sq,ar,bn,bg,zh,cs,da,fa,fr,el,gu,he,hi,hu,is,id,ja,quc,ko,mt,mam,no,pt,ro,ru,si,sl,sw,ta,tet,tr,tzj,uk,vi,cy
Spiral Galaxies,Spiraalstelsel,Galassie a spirale,Spiralgalaxie,Galaxia espiral,Galaktyka spiralna,,المجرات الحلزونية,সর্পিল ছায়াপথ,Спирална галактика,,Spirální galaxie,Spiralgalakser,,Galaxie spirale,Σπειροειδής Γαλαξίας,,גלקסיות ספירליות,"
सर्पिल आकाशगंगाओं",,Þyrilvetrarbraut,Galaksi Spiral,らせん銀河,T’ot’ jupuqch’umil,나선 은하,,,Spiralgalakser,Galáxia em espiral,Galaxie de tip spirală,Спиральные галактики,සර්පිලාකාර මන්දාකිනි,Spiralna galaksija,Spiral Galaxy,சுருள் விண்மீன் பேரடை,,Sarmal Gökadalar,,Спіральні галактики,,Galaethau Troellog
Stars,Ster,Stelle,Stern,Estrella,Gwiazda,,النجوم,নক্ষত্র,Звезда,,Hvězda,Stjerner,,Étoiles,Αστέρι,,כוכבים,सितारों,,Stjarna,Bintang,恒（こう）星,Taq ch'umil,별,,,Stjerner,Estrela,Stea,Звезды,තාරකා,Zvezda,Nyota,விண்மீன்,,Yıldızlar,,Зорі,,Sêr
Open clusters,Open Cluster,Ammassi stellari aperti ,Offene Sternhaufen,Cúmulos abiertos,Gromady otwarte,,العناقيد النجمية المفتوحة,খোলা  ক্লাস্টার,Разсеяни звездни купове,,Otevřené hvězdokupy,Åbne Hobe,,Amas ouverts,Ανοιχτά Σμήνη,,צבירי כוכבים פתוחים,"
खुला क्लस्टर",,Lausþyrpingar,Gugus Terbuka,散開（さんかい）星団,Molajil ch'umil,산개 성단,,,Åpne stjernehoper,Enxame aberto,Roi deschis,Рассеянные скопления,විවෘත තරුපොකුරු,Razsute kopice,Open clusters,திறந்த விண்மீன் கூட்டங்கள்,,Açık Kümeler,,Розсіяні скупчення,,Clystyrau Agored
Globular clusters,Bolvormige Sterrenhoop,Ammassi globulari,Kugelsternhaufen,Cúmulos globulares,Gromady kuliste,,العناقيد النجمية المغلقة,বিশ্বব্যাপী ক্লাস্টার,Кълбовидни звездни купове,,Kulové hvězdokupy,Kugle Hobe,,Amas globulaires,Σφαιρωτά Σμήνη,,צבירי כוכבים כדוריים ,"
गोलाकार क्लस्टर",,Kúluþyrpingar,Gugus Bola,球状（きゅうじょう）星団,Molajil ojer taq ch'umil,구상 성단,,,Kulehoper,Enxame globular,Roi globular,Шаровые звездные скопления,ගෝලාකාර  තරුපොකුරු,Kroglaste kopice,Globular clusters,கோளகக் கொத்து விண்மீன் கூட்டங்கள்,,Küresel Kümeler,,Кулясті скупчення,,Clystyrau Crwn
Galaxies,,,,,,,,,,,Galaxie,,,Galaxies,,,גלקסיות,,,,Galaksi,銀河,,,,,,,Galaxii,Галактики,,,,விண்மீன் பேரடைகள்,,Gökadalar,,,,Galaethau
Earth,,,,,,,,,,,Země,,,La Terre,,,כדור הארץ,,,,Bumi,地球,,,,,,,Pământ,Земля,,,,பூமி,,Yeryüzü,,,,Y Ddaear
Glossary,Woordenlijst,Glossario,Glossar,Glosario,Słownik terminów,,قاموس المصطلحات,শব্দকোষ,Речник,,Slovníček,Ordliste,,Glossaire,Λεξικό,,מונחון,शब्दकोष,,,Glosarium,用語集,kemcholtzij,용어집,,,Ordliste,Glossário,Glosar,Словарь,වචන මාලාව,Slovar,,சொற்களஞ்சியம்,,Sözlük,,Словник,Từ vựng,Rhestr Termau
"Asteroid: Asteroids are chunks of rock and metal left over from when our Solar System formed. Most can be found between Mars and Jupiter, a region of space we call the Asteroid Belt.",,,,,,,,,,,,,,,,,,,,,,"小惑星:小惑星は太陽系ができた頃から取り残された岩と金属のかたまりです。ほとんどは、火星と木星の間にある小惑星帯というところで見つかります。
",,,,,,,"Asteroid: Asteroizii sunt bucăți de rocă și metal care au rămas în urma formării Sistemului Solar. Marea lor majoritate pot fi găsiți între planetele Marte și Jupiter, în regiunea din spațiu ce poartă numele de Centrura de Asteroizi.",,,,,,,,,,,
Asteroid Belt: The asteroid belt is a region of our Solar System between Mars and Jupiter. It is heavily populated by asteroids and dwarf planets.,,,,,,,,,,,,,,,,,,,,,,"小惑星帯：火星と木星の間にあって、太陽系の一部です。
小惑星と準惑星がそのほとんどです。
",,,,,,,Centura de Asteroizi: Centrura de asteroizi reprezintă o regiune din sistemul nostru solar situată între planetele Marte și Jupiter. Acesta este puternic populată de asteroizi și planete pitice. ,,,,,,,,,,,
Astronomical Unit: An astronomical unit is the average distance between the centre of the Earth and the centre of the Sun (about 150 million kilometres).,,,,,,,,,,,,,,,,,,,,,,"天文単位：１天文単位は、地球の中心と太陽の中心間の平均距離です。（およそ1億5000万キロメートル）AUと略することもあります。
",,,,,,,Unitate astronomică: o unitate astronomiă reprezintă distanța medie dintre centrul Pământului și centrul Soarelui (aproximativ 150 milioane de kilometri).,,,,,,,,,,,
Atmosphere: An atmosphere is a layer of gases surrounding a planet or a moon. Earth’s atmosphere contains the oxygen we breathe.,,,,,,,,,,,,,,,,,,,,,,"大気：惑星または衛星を囲んでいるガスの層です。地球の大気は、私たちが呼吸する酸素をふくんでいます。
",,,,,,,Atmosferă: Atmosfera reprezintă stratul de gaze care înconjoară o planetă sau o lună. Atmosfera Pământului conține oxigenul de care avem nevoie pentru a respira.,,,,,,,,,,,
Atoms: Atoms are the building blocks of the Universe. All matter is made of these tiny particles. Your body contains billions and billions of atoms!,,,,,,,,,,,,,,,,,,,,,,"原子：宇宙の基礎単位です。すべての物質は、これらのとても小さな粒子でできています。あなたのからだは、とほうもない数の原子を含んでいます。
",,,,,,,Atomi: Atomii sunt blocurile constructive ale Universului. Toată materia este formată din aceste particule minuscule. Corpul tău conține miliarde și miliarde de atomi!,,,,,,,,,,,
Big Bang: Around 14 billion years ago the entire Universe was inside a bubble thousands of times smaller than a pinhead. Then it exploded and the Universe was born.,,,,,,,,,,,,,,,,,,,,,,"ビッグバン：およそ140億年前、すべての宇宙は、ピンの頭より数千分の一の小さな泡の内部にありました。それから、おおきく爆発して、現在の宇宙が生まれたといわれています。
",,,,,,,Big Bang: În urmă cu 14 miliarde de ani în urmă Universul se afla în interiorul unei bule de sute de ori mai mică decât gamălia unui ac. Apoi a urmat o explozie si astfel s-a format Universul.,,,,,,,,,,,
"Billion: A billion is a thousand million (1000, 000, 000).",,,,,,,,,,,,,,,,,,,,,,"10億：1000,000,000 です。
",,,,,,,"Miliard: Un miliard este egal cu o mie de milioane (1000, 000, 000).",,,,,,,,,,,
"Binary System: Four out of every five points of light we see in the night sky are not one star, but two or more orbiting around each other. We call a system of two stars a binary system.",,,,,,,,,,,,,,,,,,,,,,"連星系：私たちが夜空で見る星の5分の4は、1つの星でなく、２つ以上の星がおたがい回りあっている星です。２つ以上の星のまとまりを連星系といいます。
",,,,,,,"Sistem Binar: Patru din cinci stele pe care le vedem pe cer nu sunt o singura stea, ci două sau mai multe care orbitează una pe cealaltă. Un sistem binar este format din două stele.",,,,,,,,,,,
Black Dwarf: A black dwarf is the very last phase in the lifecycle of a star like our Sun. When the star has cooled down so much that it no longer shines at all it becomes a black dwarf.,,,,,,,,,,,,,,,,,,,,,,"黒色矮星（わいせい）：太陽に似た星の一生の最後の段階です。
星はまったくもはや輝かず、冷えてしまったとき、黒色矮星になります。
",,,,,,,Pitică neagră: O pitică neagră reprezintă ultima fază din ciclul vieții unei stele asemănătoare Soarelui nostru. Atunci când steaua se răcește suficient de mult și nu mai are forță să strălucească ea devine o pitică neagră. ,,,,,,,,,,,
Black Hole: Black holes form when a massive star dies and is squashed down into an incredibly tiny space. Black holes' very strong gravity can even swallow-up light if it gets too close.,,,,,,,,,,,,,,,,,,,,,,ブラックホール：巨大な星が死んで、信じられないほど小さい大きさに縮んで押しつぶされる時、ブラックホールができます。あまりに間近に寄ると、ブラックホールの非常に強い引力が光をも飲みこむことができます。,,,,,,,Gaură neagră: O gaură neagră se formează atunci când o stea masivă moare și este sfărâmată până ajunge la dimensiuni incredibil de mici. Forța de gravitație foarte puternică a găurilor negre poate înghiți chiar și lumina dacă se apropie prea mult.,,,,,,,,,,,
"Brown Dwarf Brown dwarfs are called “failed stars” by some astronomers. Unlike stars, they never become hot enough to start giving off energy in a process called ‘nuclear fusion’.",,,,,,,,,,,,,,,,,,,,,,"褐色（かっしょく）矮星：星のなかでも、決して核融合という段階に内部のエネルギーを放ちはじめるほどに熱くならない星です。
",,,,,,,"Pitica maro: Stelele de acest tip mai sunt numite de astronomi și stele eșuate. Spre deosebire de celelalte stele, ele nu ajung niciodată la o temperatură suficient de mare pentru a ajunge la fuziune nucleară.  ",,,,,,,,,,,
"Comet: Comets are made of ice, dust and rock, so they are sometimes called “dirty snowballs”. They come from the outer regions of the Solar System and travel around the Sun, like planets.",,,,,,,,,,,,,,,,,,,,,,"彗星（すいせい）：氷、ちりと岩でできているので、時々“よごれた雪だるま”と呼ばれています。太陽系のはしっこから来て、太陽のまわりを惑星のように移動します。
",,,,,,,"Cometă: Cometele sunt formate din gheață, praf și rocă, motiv pentru care mai poartă numele și de ""bulgări de zăpadă murdari"". Ele provin din regiunea exterioară a Sistemului Solar și călătoresc în jurul Soarelui, asemănător planetelor. ",,,,,,,,,,,
Corona: The corona is an envelope of blisteringly hot gas surrounding the Sun.,,,,,,,,,,,,,,,,,,,,,,コロナ：太陽を囲んでいるたいへん熱いガスの囲みです。,,,,,,,Coroana: Coroana este învelișul de gaz fierbinte incandescent care înconjoară Soarele. ,,,,,,,,,,,
"Cosmic Dust: Cosmic dust is made up of tiny solid particles in space, sometimes called stardust. You could fit dozens of these particles onto a pinhead.",,,,,,,,,,,,,,,,,,,,,,"宇宙塵（じん）：宇宙にある小さい固体のつぶつぶです。星くずとということもあります。何十個もの宇宙塵を集めると虫ピンの頭くらいになります。
",,,,,,,"Praf cosmic: Praful cosmic este format din particule mici, solide în spațiu. Poți băga sute de astfel de particule în gămălia unui ac.",,,,,,,,,,,
"Dark Energy: Astronomers know how much dark energy there is (roughly 68% of the Universe) because they know how it affects the Universe. Other than that, it is a complete mystery.",,,,"Energía oscura: Los astrónomos saben cuánta energía oscura hay (aproximadamente el 68% del Universo) porque saben cómo afecta al Universo. Aparte de eso, es un completo misterio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Matter: Dark matter is a mysterious material that got its name because it doesn’t give off any light. There is 5 times as much Dark Matter in the Universe as there is normal matter.,,,,Materia oscura: La materia oscura es un misterioso material que recibió este nombre porque no emite luz. Hay 5 veces más materia oscura en el Universo que materia normal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dark Nebulae: Dark nebulae look like holes in the night sky, they are completely black. However, they aren’t empty; dark nebulae are thick clouds of cosmic gas and dust that block out light.",,,,,,,,,,,,,,,,,,,,,,"暗黒星雲：夜空にあいた穴のように見え、完全に真っ黒です。しかし、そこは何もないわけではありません。暗黒星雲は、光をさえぎる宇宙ガスとちりが集まった濃い雲です。
",,,,,,,,,,,,,,,,,,
"Density: Density is a measurement of how much material an object has. For example, a balloon and a bowling ball could be the same size, but the bowling ball has a higher density.",,,,,,,,,,,,,,,,,,,,,,"密度：天体がどれくらいの材料を持つかという測定値です。たとえば、風船とボウリングの球は同じ大きさですが、ボウリングの球はより高い密度を持ちます。
",,,,,,,,,,,,,,,,,,
"Diameter: Diameter is a measurement of the distance across the widest part of a circle or sphere. For example, the diameter of Earth is 12,700 kilometers.",,,,,,,,,,,,,,,,,,,,,,"直径：円または球で最も広い部分の中心距離の測定値です。たとえば、地球の直径は、12,700キロメートルです。
",,,,,,,,,,,,,,,,,,
Dwarf Galaxy: Dwarf galaxies are much smaller than normal galaxies. They are made up of just a few billion stars rather than hundreds of billions.,,,,,,,,,,,,,,,,,,,,,,"矮小（わいしょう）銀河：ふつうの銀河よりも非常に小さい銀河です。数十億個から数千億個の星のあつまりです。
",,,,,,,,,,,,,,,,,,
"Dwarf Planet: A dwarf planet is an object in the Solar System that is bigger than a comet or asteroid but smaller than a planet. Our Solar System has five dwarf planets, including Pluto.",,,,,,,,,,,,,,,,,,,,,,"準惑星：彗星または小惑星より大きいが、惑星より小さい太陽系の天体です。私たちの太陽系には、冥王星を含む5つの準惑星があります。
",,,,,,,,,,,,,,,,,,
Earth: Earth is our beautiful home planet; the only place in the Universe where life exists (that we know of)!,,,,,,,,,,,,,,,,,,,,,,"地球：私たちの美しいふるさとの惑星です。私たちが知っている
生命が存在する宇宙でたったひとつの場所です。
",,,,,,,"Pământul: Pământul este planeta noastră, singura planetă din univers unde există viață (de care să știm)!",,,,,,,,,,,
"Elements: There are over a hundred different types of atom, called elements. The atoms of a particular element are identical to each other. Examples of elements are Oxygen, Iron and Gold.",,,,,,,,,,,,,,,,,,,,,,元素：100種類以上の異なる原子からなり、元素といいます。特定の元素の原子は、同じ配列です。例えば、酸素や鉄、金などです。,,,,,,,,,,,,,,,,,,
Elliptical Galaxy: There are three types of galaxy which all have different shapes. Elliptical galaxies are shaped like rugby balls. These are old galaxies with no new stars forming.,,,,,,,,,,,,,,,,,,,,,,楕円（だえん）銀河：3種類ある銀河のひとつです。楕円銀河は、ラグビー・ボールに似た形です。これらは、生まれたてではなく古い銀河です。,,,,,,,,,,,,,,,,,,
Emission Nebulae: Emission nebulae are clouds of cosmic gas and dust that have been heated by nearby stars. As the clouds cool down they begin to shine (the same way a neon light works).,,,,,,,,,,,,,,,,,,,,,,"発光星雲：近くの星によって熱された宇宙ガスとちりの雲です。
雲が冷えはじめると、ネオンが光るのと同じ方法で光りはじめます。",,,,,,,,,,,,,,,,,,
Exo-planet: An extrasolar planet (exo-planet for short) is a planet that orbits a star beyond our Solar System.,,,,,,,,,,,,,,,,,,,,,,系外（けいがい）惑星：太陽系の外にある惑星（略して系外惑星）は、太陽系から遠くはなれた星のまわりを回る惑星です。,,,,,,,Exo-planetă: O planetă extrasolară (pe scurt exo-planetă) este o planetă ce orbitează o stea din afara Sistemului Solar.,,,,,,,,,,,
Force: A force is a push or pull on an object. Examples of forces are friction and gravity.,,,,,,,,,,,,,,,,,,,,,,"力：天体がもつ押したり引いたりするものです。
たとえば、摩擦力とか引力です。
",,,,,,,Forță: O forță reprezintă efectul de tragere sau împingere asupra unui obiect. Exemple sunt forța de frecare și gravitația.,,,,,,,,,,,
Galactic Bulge: In a spiral galaxy the bulge is a spherical-shaped area at the centre of the galaxy. The bulge is made up of old stars as well as cosmic gas and dust.,,,,,,,,,,,,,,,,,,,,,,銀河のふくらみ：渦巻（うずまき）銀河の中央付近にある、丸くふくらんだ部分です。宇宙ガスとちりと同じ古い星からできています。,,,,,,,,,,,,,,,,,,
"Galactic Disc: Spiral galaxies are disc shaped, like a CD with the bulge at the centre. We call the flat region the galactic disc, it is made up of gas, dust and young stars.",,,,,,,,,,,,,,,,,,,,,,銀河円盤：渦巻（うずまき）銀河は、中心がふくらんだCDに似た形の円盤です。このうち平らな地域を銀河円盤といい、ガス、ちりと若い星のあつまりです。,,,,,,,,,,,,,,,,,,
"Galactic Halo: Each galaxy is surrounded by a halo of material, including very old stars clusters, cosmic gas and dust, and even dark matter.",,,,,,,,,,,,,,,,,,,,,,"銀河ハロ：それぞれの銀河は、非常に古い星の集まりで、宇宙ガスとちりとダークマターさえ含む材料のハロに囲まれています。
",,,,,,,,,,,,,,,,,,
"Galaxy: A Galaxy is a gigantic collection of stars, along with cosmic gas, dust and other stuff. The galaxy we live in is called the Milky Way.",,,,,,,,,,,,,,,,,,,,,,銀河：宇宙ガスやちりと他のものに加えて、銀河は星の巨大な集まりです。私たちの銀河は、天の川銀河といいます。,,,,,,,,,,,,,,,,,,
"Gamma Rays: Gamma rays are a type of invisible light. Gamma rays are the most energetic type of light, they are produced by the most violent events in the Universe, like supernova explosions.",,,,,,,,,,,,,,,,,,,,,,"ガンマ線：目に見えない光線の一種です。ガンマ線は明るいもので最も活動的なものです、超新星爆発のような最も激しい現象の時に作られます。
",,,,,,,,,,,,,,,,,,
"Gas Giant: Jupiter, Saturn, Uranus and Neptune are called the gas giants because they are much larger than the four planets in the inner Solar System and are made of gas.",,,,,,,,,,,,,,,,,,,,,,巨大ガス惑星：太陽系の内側にある4つの惑星より非常に大きくて、ガスでできているもので、木星、土星、天王星と海王星をさします。,,,,,,,,,,,,,,,,,,
"Globular Clusters: Globular clusters are huge groups of stars bound together by gravity. These groups are sometimes made up of hundreds of thousands, or even millions, of stars.",,,,,,,,,,,,,,,,,,,,,,"球状星団：引力によって結びついた星の巨大な集団です。時には何十万から何百万の恒星が集まっています。
",,,,,,,,,,,,,,,,,,
Gravitational Lensing: Massive structures like galaxies and clusters of galaxies can bend the light from objects behind them with their strong gravity. This phenomenon is called 'gravitational lensing'.,,,,,,,,,,,,,,,,,,,,,,重力レンズ：銀河や銀河どうしが集まった巨大構造は、強い引力でそれらの後にある天体からでた光を曲げることができます。この現象を重力レンズといいます。,,,,,,,,,,,,,,,,,,
"Gravitational Waves: Gravitational waves are created by violent cosmic events, like an exploding star or two black holes colliding. Like ripples on water, these are ripples through space-time.",,,,,,,,,,,,,,,,,,,,,,"重力波：衝突したり爆発したりといった非常に激しい現象が起きた時、星やブラックホールから出てくる波のようなもの。水の上の波紋ににていて、時空を通して宇宙空間を伝わってくる波紋です。
",,,,,,,,,,,,,,,,,,
Gravity: Gravity is a force that attracts all objects that have mass. It keeps your feet on the ground and keeps the Earth and all the other planets in orbits around the Sun.,,,,,,,,,,,,,,,,,,,,,,"引力：質量を持つすべての天体を引きつける力です。人が地上でしっかり立っていたり、地球とその他の惑星が太陽のまわりを回り続ける力です。
",,,,,,,,,,,,,,,,,,
"Infrared: Infrared is a type of invisible light. The human body has a temperature that gives off infrared light, so infrared detectors can be used as night-vision cameras.",,,,,,,,,,,,,,,,,,,,,,"赤外線：目に見えない光線の一種。人体は明るい赤外線を放つ温度を持つので、赤外線検出器が暗視カメラとして使われます。
",,,,,,,,,,,,,,,,,,
International Space Station: The International Space Station is the biggest man-made object orbiting Earth. It is basically a space laboratory where astronauts live and running lots of science experiments,,,,,,,,,,,,,,,,,,,,,,"国際宇宙ステーション：地球のまわりを回っている最大の人工天体です。基本的に、宇宙飛行士がそこで生活し、宇宙でたくさんの科学に関する実験をしています
",,,,,,,,,,,,,,,,,,
Interstellar Medium: The interstellar medium (or ISM) is the material that exists in the space between the stars. This mostly includes cosmic gas and dust.,,,,,,,,,,,,,,,,,,,,,,"星間物質：恒星間の宇宙に存在する材料一般です。主に、宇宙ガスとちりを含んでいます。
",,,,,,,,,,,,,,,,,,
Irregular Galaxy: There are three types of galaxy which all have different shapes. Irregular galaxies come in many different shapes and sizes.,,,,,,,,,,,,,,,,,,,,,,"不規則銀河：3種類の銀河のうちのひとつ。不規則銀河は、多くの異なる形と大きさがあります。
",,,,,,,,,,,,,,,,,,
"Jupiter: Jupiter is the biggest planet in our Solar System, over 100 times bigger than Earth! Jupiter is made up of gas that form cloudy belts that can even be seen with a small telescope.",,,,,,,,,,,,,,,,,,,,,,"木星：太陽系で最も大きい惑星で、地球の100倍以上の大きさです。
木星は、小さな望遠鏡で見ることができる雲でできたガスの帯を持っています。
",,,,,,,,,,,,,,,,,,
"Kuiper Belt: The Kuiper Belt (""KAI-per"") is a cold, dark region of our Solar System beyond Neptune. Astronomers believe it contains thousands of comets, asteroids and other small, icy objects.",,,,,,,,,,,,,,,,,,,,,,"カイパーベルト：海王星のはるか外側の、太陽系の冷たくて暗い地域です。何千もの彗星や小惑星などの小さな、冷たい天体があると考えられています。
",,,,,,,,,,,,,,,,,,
Light Year: A light year is a unit for measuring distance (like a mile or a kilometre). A light year is the distance that light can travel in a year – which is about 9.4 trillion kilometres!,,,,,,,,,,,,,,,,,,,,,,光年：1光年は、1マイルまたは1キロメートルのように距離を計るときの単位です。1光年とは、１年間で光を移動させることができるおよそ9兆4000億キロメートルの距離です。,,,,,,,,,,,,,,,,,,
"Lunar Eclipse: When the Earth passes between the Moon and the Sun, the Moon becomes completely cloaked in shadow. This is called a ‘lunar eclipse’",,,,,,,,,,,,,,,,,,,,,,月食：地球が月と太陽の間を通るとき、月は地球の影に完全におおいかくされます。これを月食といいます。,,,,,,,,,,,,,,,,,,
Magnetic Field: A magnetic field is the area around a magnet where the attractive or repulsive force of a magnet can be felt.,,,,,,,,,,,,,,,,,,,,,,磁場：磁場は、磁石のまわりにできる場所で、磁気力に引きつけ合ったり反発したりする所です。,,,,,,,,,,,,,,,,,,
"Man-made Satellites: A number of man-made satellites that have been launched into orbit. They carry out a range of jobs, including collecting information, helping us communicate or for navigation.",,,,,,,,,,,,,,,,,,,,,,人工衛星：地球のまわりの軌道に打ち上げられ、私たちの情報交換や情報収集、自動車のナビなどたくさんの情報を集めたり、発信したりする装置です。,,,,,,,,,,,,,,,,,,
Mars: Mars is also known as The Red Planet. Mars is one of our closest cosmic neighbours and the only planet in the Universe entirely inhabited by robots!,,,,,,,,,,,,,,,,,,,,,,火星：火星は、赤い惑星としても知られています。火星は、私たちの最も親しい隣人のうちの1つで、ロボットで住めるようになる宇宙のたったひとつの惑星です。,,,,,,,,,,,,,,,,,,
"Mass: Mass is a constant measurement that shows how much material an object has. Unlike mass, weight is the pull of gravity on an object and it changes depending on gravity.",,,,,,,,,,,,,,,,,,,,,,質量：「質量」とは、天体がどれくらいの材料でできているかという一定の測定値です。質量とはべつに、「重さ」とは天体上の引力の力で、それは引力によって変わります。,,,,,,,,,,,,,,,,,,
Mercury: Mercury is the closest planet to our Sun and the smallest planet in the Solar System. It’s not much bigger than our Moon and looks very similar — rocky and covered in craters.,,,,,,,,,,,,,,,,,,,,,,水星：水星は、太陽系で最も小さな惑星で、最も太陽に近い惑星です。月とほとんどかわらない大きさで、月そっくりで、岩だらけで、クレーターだらけです。,,,,,,,,,,,,,,,,,,
Messier Objects: The Messier Catalogue is a list of 110 cosmic objects created by a French astronomer named Charles Messier in the 1700s.,,,,,,,,,,,,,,,,,,,,,,メシエ天体：メシエ・カタログは、1700年代にＣ・メシエというフランスの天文学者によってつくられた110個の宇宙天体のリストです。,,,,,,,,,,,,,,,,,,
"Meteor: When a meteoroid enters Earth’s atmosphere it creates a streak of light, this is known as a meteor or sometimes a ‘shooting star’.",,,,,,,,,,,,,,,,,,,,,,流星(またはいん石)：流星体が地球の大気に入るとき、それは線状に光ります、これを流星または流れ星といいます。,,,,,,,,,,,,,,,,,,
"Meteorite: If a meteoroid, comet or asteroid lands on Earth it’s called a meteorite. Around 50,000 tonnes of meteoroids and other kinds of space dust enter our atmosphere every year!",,,,,,,,,,,,,,,,,,,,,,隕（いん）石：流星体、彗星または小惑星が地球上に落ちた時、隕石と呼ばれます。およそ5万トンの流星体と他の種類の宇宙塵が、毎年、地球の大気に突入しています。,,,,,,,,,,,,,,,,,,
Meteoroid: A meteoroid is a small rock travelling through space. Meteoroids are much smaller than asteroids; they range from the size of a rice grain up to a metre wide.,,,,,,,,,,,,,,,,,,,,,,流星体：流星体は、宇宙全体に飛んでいる小さな岩です。流星体は、小惑星にくらべ非常に小さいです。幅もたかだか1メートルから米粒サイズまでいろいろです。,,,,,,,,,,,,,,,,,,
"Microwave: Microwaves are a type of invisible light. Microwaves are good for sending messages from one place to another because microwaves can travel through rain, snow and clouds.",,,,,,,,,,,,,,,,,,,,,,マイクロ波：マイクロ波は、ある種の目に見えない電波です。マイクロ波は雨や雪、雲を通して伝達することができるので、遠くまで情報を送るのが得意です。,,,,,,,,,,,,,,,,,,
Milky Way: The Milky Way is the galaxy we live within. The Sun is one of 100 billion stars in the Milky Way.,,,,,,,,,,,,,,,,,,,,,,天の川銀河：天の川銀河は、私たちがいる銀河です。太陽は、天の川銀河の1000億ある星のうちの1つです。,,,,,,,,,,,,,,,,,,
"Million: A million is a thousand, thousand (1,000,000).",,,,,,,,,,,,,,,,,,,,,,"100万：100万は、千かける千です。（1,000,000）",,,,,,,,,,,,,,,,,,
Molecules: A molecule is a particle containing two or more atoms. For example water is a molecule made up of two atoms of hydrogen and one atom of oxygen.,,,,,,,,,,,,,,,,,,,,,,分子：分子は、2つ以上の原子を含んでいる粒子です。たとえば、水は水素2つの原子と酸素1つの原子でできた分子です。,,,,,,,,,,,,,,,,,,
"Moons: A moon is a natural satellite that orbits a planet. Most of the planets in our Solar System have at least one moon, like Earth, some planets have dozens.",,,,,,,,,,,,,,,,,,,,,,衛星：衛星は、惑星のまわりを回る天体です。太陽系の大部分の惑星は地球のように少なくとも1つの月があり、多数ある惑星もあります。,,,,,,,,,,,,,,,,,,
"Natural Satellites: There are two types of satellite: natural and man-made. Natural satellites are cosmic objects that orbit around other objects in space, e.g. the Moon which orbits around Earth.",,,,,,,,,,,,,,,,,,,,,,天然の衛星：衛星には天然と人工の２種類があり、天然の衛星は、例えば地球をまわる月のように宇宙でおよそ他の天体のまわりを回る宇宙天体です。,,,,,,,,,,,,,,,,,,
"Near Earth Objects: A near-Earth object (shortened to NEO) is any small object in the Solar System, such as asteroids or comets, that travels close to Earth.",,,,,,,,,,,,,,,,,,,,,,地球近傍（きんぼう）天体：地球近傍天体（NEO）は、地球近くまで接近してくる太陽系の小惑星または彗星などの小さな天体をさします。,,,,,,,,,,,,,,,,,,
Nebula: A Nebula is a cloud of gas and dust in space. Some are the remains of dead stars and others are where stars are born.,,,,,,,,,,,,,,,,,,,,,,星雲：星雲は、宇宙のガスとちりの雲です。死んだ星の残がいもあり、星が生まれるところでもあります。,,,,,,,,,,,,,,,,,,
"Neptune: Neptune is the farthest planet from the Sun, it takes over 60,000 days to complete one orbit! Like Jupiter, Saturn and Uranus it is a gas planet.",,,,,,,,,,,,,,,,,,,,,,"海王星：海王星は太陽から最も遠くはなれた惑星です、太陽の周りを一周するために60,000日以上かかります。木星や土星、天王星と同じガス惑星です。",,,,,,,,,,,,,,,,,,
"Neutron Star: When a huge star reaches the end of its life, it explodes. The core of the star survives the explosion, but is squashed down into a tiny compact ball called a neutron star.",,,,,,,,,,,,,,,,,,,,,,中性子星：巨大な星がその一生の終わりに達っしたとき、爆発します。星の芯は、爆発で生き残りますが、中性子星という小さくてコンパクトな球体に押しつぶされます。,,,,,,,,,,,,,,,,,,
"Oort Cloud: Most astronomers believe the Oort Cloud (pronounced ""O-rt"") is a giant icy shell made of comets that surrounds our Solar System.",,,,,,,,,,,,,,,,,,,,,,オールト雲：大部分の天文学者は、太陽系から遠く離れている宇宙に、彗星の多いのところが丸く雲のような状態であると思っていて、ここをオールト雲といいます。,,,,,,,,,,,,,,,,,,
Open clusters: Open clusters are groups of stars that formed from the same giant cloud of gas and dust. These groups contain up to a few thousand stars that are loosely bound together by gravity.,,,,,,,,,,,,,,,,,,,,,,散開星団：散開星団は、ガスと塵（ちり）の巨大な雲からできた星の集団です。これらは、引力によってゆるく結びついた数千個の星をふくんでいます。,,,,,,,,,,,,,,,,,,
"Orbit: An orbit is the path along which cosmic objects, satellites and even spacecraft travels. For example, the Earth’s orbit around the Sun takes 365 days to complete (or one year).",,,,,,,,,,,,,,,,,,,,,,軌道：軌道は、宇宙にある天体や衛星、宇宙船による飛行ですらたどる経路です。たとえば、太陽のまわりをまわる地球の軌道は、一周するのに（または1年）365日がかかります。,,,,,,,,,,,,,,,,,,
Planetary Nebula: Planetary nebulae have nothing to do with planets. They are clouds of cosmic gas and dust created when a Sun-like star blows off its outer layers of material.,,,,,,,,,,,,,,,,,,,,,,惑星状星雲：惑星状星雲は、惑星とは無関係で、ガスと塵（ちり）でできた雲です。塵は太陽のような星がその外層を吹き飛ばした時につくられました。,,,,,,,,,,,,,,,,,,
